t,r,j,ms,price,channels,channels_spec
1,1,1,0.226,39,17,3
1,1,2,0.25,35,43,2
2,1,1,0.163,37,21,2
2,1,2,0.181,33,67,2
3,1,1,0.221,39,50,5
3,1,2,0.258,35,42,1
4,1,1,0.239,40,52,2
4,1,2,0.234,35,25,1
5,1,1,0.326,42,65,1
5,1,2,0.222,35,60,3
6,2,1,0.348,45,53,5
6,2,2,0.14,34,38,5
7,2,1,0.115,42,60,3
7,2,2,0.335,38,54,3
8,2,1,0.314,46,49,5
8,2,2,0.226,37,64,3
9,2,1,0.099,41,48,3
9,2,2,0.309,37,31,4
10,2,1,0.275,45,43,1
10,2,2,0.197,37,21,5
11,3,1,0.127,28,21,1
11,3,2,0.41,32,53,3
12,3,1,0.279,31,57,5
12,3,2,0.263,30,68,3
13,3,1,0.476,37,61,2
13,3,2,0.194,30,42,4
14,3,1,0.372,33,15,5
14,3,2,0.181,29,39,4
15,3,1,0.314,34,65,1
15,3,2,0.272,32,57,5
16,4,1,0.063,36,39,1
16,4,2,0.418,35,37,4
17,4,1,0.317,40,23,5
17,4,2,0.099,30,20,1
18,4,1,0.135,37,14,3
18,4,2,0.304,33,63,4
19,4,1,0.142,38,48,1
19,4,2,0.236,33,18,2
20,4,1,0.142,36,34,1
20,4,2,0.114,29,12,1
21,5,1,0.181,48,22,1
21,5,2,0.102,34,53,2
22,5,1,0.334,50,49,4
22,5,2,0.11,34,38,4
23,5,1,0.108,47,26,4
23,5,2,0.325,37,49,4
24,5,1,0.307,51,67,4
24,5,2,0.044,34,36,1
25,5,1,0.172,48,14,3
25,5,2,0.1,34,13,1
26,6,1,0.059,47,14,3
26,6,2,0.256,49,67,5
27,6,1,0.213,49,42,3
27,6,2,0.111,46,60,2
28,6,1,0.146,48,20,2
28,6,2,0.062,46,25,2
29,6,1,0.108,47,51,5
29,6,2,0.203,48,63,5
30,6,1,0.21,49,30,4
30,6,2,0.094,46,13,5
31,7,1,0.487,33,61,4
31,7,2,0.09,38,27,2
32,7,1,0.387,31,54,3
32,7,2,0.11,39,19,4
33,7,1,0.424,31,51,4
33,7,2,0.266,41,60,4
34,7,1,0.527,34,53,3
34,7,2,0.042,37,31,1
35,7,1,0.444,34,53,5
35,7,2,0.053,39,18,2
36,8,1,0.428,33,28,5
36,8,2,0.071,29,35,1
37,8,1,0.507,37,62,5
37,8,2,0.131,30,19,2
38,8,1,0.443,35,62,5
38,8,2,0.136,30,57,1
39,8,1,0.288,29,68,3
39,8,2,0.19,30,32,2
40,8,1,0.32,29,22,4
40,8,2,0.139,28,24,4
41,9,1,0.319,25,59,3
41,9,2,0.434,35,67,4
42,9,1,0.487,30,51,5
42,9,2,0.148,29,38,1
43,9,1,0.473,31,27,3
43,9,2,0.181,31,60,4
44,9,1,0.369,28,62,4
44,9,2,0.19,31,15,2
45,9,1,0.37,28,22,5
45,9,2,0.146,30,59,2
46,10,1,0.409,40,60,5
46,10,2,0.1,34,28,3
47,10,1,0.059,33,26,1
47,10,2,0.342,38,35,5
48,10,1,0.184,34,42,1
48,10,2,0.238,35,15,4
49,10,1,0.336,39,60,4
49,10,2,0.126,36,42,5
50,10,1,0.423,40,56,5
50,10,2,0.07,34,23,3
51,11,1,0.517,30,67,1
51,11,2,0.147,27,55,2
52,11,1,0.461,30,30,1
52,11,2,0.127,28,66,4
53,11,1,0.288,23,52,1
53,11,2,0.265,28,60,1
54,11,1,0.375,27,12,2
54,11,2,0.253,29,13,3
55,11,1,0.484,29,54,4
55,11,2,0.196,28,28,3
56,12,1,0.362,38,41,3
56,12,2,0.068,26,19,1
57,12,1,0.282,37,68,2
57,12,2,0.148,27,40,2
58,12,1,0.387,42,59,4
58,12,2,0.111,28,14,1
59,12,1,0.113,34,38,4
59,12,2,0.193,28,13,4
60,12,1,0.256,37,63,3
60,12,2,0.19,29,36,1
61,13,1,0.115,40,14,2
61,13,2,0.165,37,14,2
62,13,1,0.189,40,42,2
62,13,2,0.128,35,14,2
63,13,1,0.12,41,21,5
63,13,2,0.327,41,36,4
64,13,1,0.167,41,39,5
64,13,2,0.193,37,44,4
65,13,1,0.164,41,47,2
65,13,2,0.273,39,32,5
66,14,1,0.402,37,47,3
66,14,2,0.148,25,19,1
67,14,1,0.242,31,26,4
67,14,2,0.221,25,57,2
68,14,1,0.203,31,19,5
68,14,2,0.212,25,23,4
69,14,1,0.22,30,24,2
69,14,2,0.176,24,38,3
70,14,1,0.27,31,10,4
70,14,2,0.268,26,11,4
71,15,1,0.234,43,37,3
71,15,2,0.125,35,19,2
72,15,1,0.13,41,50,2
72,15,2,0.326,39,57,4
73,15,1,0.299,44,44,3
73,15,2,0.199,36,51,4
74,15,1,0.321,45,33,4
74,15,2,0.058,35,12,2
75,15,1,0.215,43,36,1
75,15,2,0.146,36,32,4
76,16,1,0.354,42,45,2
76,16,2,0.129,31,18,3
77,16,1,0.177,39,23,1
77,16,2,0.24,33,58,1
78,16,1,0.106,38,25,3
78,16,2,0.235,33,34,4
79,16,1,0.173,39,66,1
79,16,2,0.378,36,26,4
80,16,1,0.206,39,18,5
80,16,2,0.228,33,52,4
81,17,1,0.493,28,44,4
81,17,2,0.075,40,46,2
82,17,1,0.394,25,12,1
82,17,2,0.074,41,35,2
83,17,1,0.074,21,10,1
83,17,2,0.306,46,24,3
84,17,1,0.434,29,52,4
84,17,2,0.063,42,13,2
85,17,1,0.488,32,27,5
85,17,2,0.151,44,69,3
86,18,1,0.34,42,68,1
86,18,2,0.083,43,38,4
87,18,1,0.244,39,54,3
87,18,2,0.091,42,47,2
88,18,1,0.228,38,37,3
88,18,2,0.133,42,61,5
89,18,1,0.246,42,20,4
89,18,2,0.147,46,59,2
90,18,1,0.125,38,12,5
90,18,2,0.302,47,62,1
91,19,1,0.303,32,50,3
91,19,2,0.083,42,36,2
92,19,1,0.418,32,50,5
92,19,2,0.039,39,37,1
93,19,1,0.492,37,56,4
93,19,2,0.056,41,16,3
94,19,1,0.286,31,40,1
94,19,2,0.168,42,62,4
95,19,1,0.397,33,65,5
95,19,2,0.062,40,23,4
96,20,1,0.299,37,25,1
96,20,2,0.084,41,64,4
97,20,1,0.131,33,30,2
97,20,2,0.191,42,13,5
98,20,1,0.374,37,52,3
98,20,2,0.069,40,34,1
99,20,1,0.287,37,54,4
99,20,2,0.105,42,38,3
100,20,1,0.338,38,40,3
100,20,2,0.066,41,35,4
101,21,1,0.24,31,27,3
101,21,2,0.307,35,64,1
102,21,1,0.367,34,50,5
102,21,2,0.197,33,57,2
103,21,1,0.512,37,63,2
103,21,2,0.063,31,25,1
104,21,1,0.334,33,65,4
104,21,2,0.168,33,61,5
105,21,1,0.196,30,40,3
105,21,2,0.293,34,44,5
106,22,1,0.214,45,16,2
106,22,2,0.208,44,55,2
107,22,1,0.086,41,20,2
107,22,2,0.234,42,42,2
108,22,1,0.253,43,17,3
108,22,2,0.062,40,14,2
109,22,1,0.214,43,46,1
109,22,2,0.102,41,39,4
110,22,1,0.262,44,50,2
110,22,2,0.05,40,57,2
111,23,1,0.273,39,68,1
111,23,2,0.224,35,15,1
112,23,1,0.338,38,47,4
112,23,2,0.159,32,44,3
113,23,1,0.453,40,49,5
113,23,2,0.112,30,42,1
114,23,1,0.501,45,43,5
114,23,2,0.118,32,62,1
115,23,1,0.201,34,37,1
115,23,2,0.208,31,42,1
116,24,1,0.248,27,51,3
116,24,2,0.043,37,15,2
117,24,1,0.233,27,35,2
117,24,2,0.1,38,16,5
118,24,1,0.41,30,18,3
118,24,2,0.098,37,10,5
119,24,1,0.359,28,22,5
119,24,2,0.143,37,22,2
120,24,1,0.156,26,40,4
120,24,2,0.283,41,44,1
121,25,1,0.295,40,59,2
121,25,2,0.154,31,39,4
122,25,1,0.394,43,63,3
122,25,2,0.175,32,33,1
123,25,1,0.216,38,54,1
123,25,2,0.253,32,43,4
124,25,1,0.337,42,47,4
124,25,2,0.125,31,26,4
125,25,1,0.317,40,66,2
125,25,2,0.213,32,56,4
126,26,1,0.213,46,18,3
126,26,2,0.176,35,42,1
127,26,1,0.165,44,69,1
127,26,2,0.23,35,12,4
128,26,1,0.207,45,28,5
128,26,2,0.134,34,54,3
129,26,1,0.098,43,12,2
129,26,2,0.209,35,54,4
130,26,1,0.318,48,44,2
130,26,2,0.097,34,53,4
131,27,1,0.293,33,43,3
131,27,2,0.311,26,66,1
132,27,1,0.178,30,30,3
132,27,2,0.341,26,44,3
133,27,1,0.263,34,13,5
133,27,2,0.292,27,43,4
134,27,1,0.363,34,35,2
134,27,2,0.209,24,68,4
135,27,1,0.389,34,66,2
135,27,2,0.149,22,18,4
136,28,1,0.294,31,12,4
136,28,2,0.152,29,17,4
137,28,1,0.229,29,21,1
137,28,2,0.355,32,53,4
138,28,1,0.252,30,42,3
138,28,2,0.249,30,42,4
139,28,1,0.353,30,37,1
139,28,2,0.11,27,10,4
140,28,1,0.173,27,33,5
140,28,2,0.41,32,69,3
141,29,1,0.183,33,59,1
141,29,2,0.135,49,44,5
142,29,1,0.276,37,21,3
142,29,2,0.171,53,65,2
143,29,1,0.084,31,35,4
143,29,2,0.244,51,47,5
144,29,1,0.101,31,22,1
144,29,2,0.078,48,29,3
145,29,1,0.349,36,30,4
145,29,2,0.032,49,33,5
146,30,1,0.039,48,11,1
146,30,2,0.453,35,49,3
147,30,1,0.109,49,20,4
147,30,2,0.358,32,46,4
148,30,1,0.332,52,47,5
148,30,2,0.112,27,51,4
149,30,1,0.225,51,27,4
149,30,2,0.263,30,27,4
150,30,1,0.167,49,55,1
150,30,2,0.246,29,33,5
151,31,1,0.08,49,19,3
151,31,2,0.206,42,64,1
152,31,1,0.045,49,10,5
152,31,2,0.403,46,63,4
153,31,1,0.309,53,27,4
153,31,2,0.046,40,32,1
154,31,1,0.232,52,68,4
154,31,2,0.088,41,36,2
155,31,1,0.347,57,52,5
155,31,2,0.062,43,34,1
156,32,1,0.305,45,64,2
156,32,2,0.068,40,53,1
157,32,1,0.102,41,38,1
157,32,2,0.331,44,15,2
158,32,1,0.218,43,31,4
158,32,2,0.083,40,39,3
159,32,1,0.124,41,27,2
159,32,2,0.327,44,42,5
160,32,1,0.142,40,22,4
160,32,2,0.053,38,39,5
161,33,1,0.092,46,41,2
161,33,2,0.17,42,50,1
162,33,1,0.282,51,54,5
162,33,2,0.061,42,53,1
163,33,1,0.23,50,35,4
163,33,2,0.088,42,37,5
164,33,1,0.26,49,62,4
164,33,2,0.083,42,31,3
165,33,1,0.092,48,54,2
165,33,2,0.224,45,69,2
166,34,1,0.142,46,65,1
166,34,2,0.193,36,42,2
167,34,1,0.035,45,28,3
167,34,2,0.308,38,47,2
168,34,1,0.083,47,51,5
168,34,2,0.465,45,41,5
169,34,1,0.314,50,30,2
169,34,2,0.08,35,37,4
170,34,1,0.108,45,14,5
170,34,2,0.116,34,27,3
171,35,1,0.119,32,18,2
171,35,2,0.281,41,49,5
172,35,1,0.541,42,67,3
172,35,2,0.044,38,19,4
173,35,1,0.179,31,11,4
173,35,2,0.192,38,54,2
174,35,1,0.441,39,31,4
174,35,2,0.079,38,40,2
175,35,1,0.274,35,13,4
175,35,2,0.104,39,20,2
176,36,1,0.401,29,51,4
176,36,2,0.216,24,46,2
177,36,1,0.264,25,61,5
177,36,2,0.451,28,67,1
178,36,1,0.303,27,31,4
178,36,2,0.343,27,47,5
179,36,1,0.314,28,36,5
179,36,2,0.335,28,40,3
180,36,1,0.093,24,33,3
180,36,2,0.508,33,68,2
181,37,1,0.311,43,47,5
181,37,2,0.152,23,18,4
182,37,1,0.224,43,51,3
182,37,2,0.263,26,67,3
183,37,1,0.329,44,63,5
183,37,2,0.258,25,43,3
184,37,1,0.017,39,10,1
184,37,2,0.462,30,58,1
185,37,1,0.3,43,65,4
185,37,2,0.232,24,54,3
186,38,1,0.334,42,35,3
186,38,2,0.092,27,32,3
187,38,1,0.277,40,54,1
187,38,2,0.193,27,16,5
188,38,1,0.116,38,57,2
188,38,2,0.237,30,39,3
189,38,1,0.217,39,14,3
189,38,2,0.173,28,59,1
190,38,1,0.396,44,33,5
190,38,2,0.169,28,16,5
191,39,1,0.123,32,20,1
191,39,2,0.44,32,61,1
192,39,1,0.173,32,20,2
192,39,2,0.398,30,57,5
193,39,1,0.417,37,58,3
193,39,2,0.208,27,15,5
194,39,1,0.4,35,36,2
194,39,2,0.123,24,57,3
195,39,1,0.414,36,39,5
195,39,2,0.2,26,61,4
196,40,1,0.136,28,32,2
196,40,2,0.405,30,47,3
197,40,1,0.289,33,22,4
197,40,2,0.338,31,60,3
198,40,1,0.46,37,60,1
198,40,2,0.131,25,43,2
199,40,1,0.289,31,29,4
199,40,2,0.242,26,30,2
200,40,1,0.277,30,45,1
200,40,2,0.221,25,17,2
