Bid1,Bid2,Bid3,Reject
33.35,18.54,22.79,1
17.14,32.94,18.93,0
12.27,23.47,12.23,0
31.18,12.75,17.38,0
19.82,23.93,28.11,0
17.71,25.87,6.06,0
21.57,17.11,23.23,1
12.46,10.8,7.38,1
12.71,14.21,17.46,1
11.29,25.79,34.56,0
22.42,23.91,30.28,0
30.05,12.49,6.57,0
30.58,6.3,26.83,1
24.32,20.94,8.45,0
34.55,10.29,19.56,0
34.37,20.66,31.06,0
25.48,31.14,5.5,0
28.56,23.41,29.57,0
15.46,13.14,28.52,0
28.42,30.64,10.81,0
6.39,9.72,32.39,1
15.58,12.78,25.51,1
15.71,25.12,31.65,0
8.89,11.78,26.39,0
34.47,29.78,19.55,0
17.47,14.72,30,0
17.19,19.65,7.72,0
28.48,27.91,5.76,0
18,27.13,15.07,0
22.29,24.08,19.61,0
24.51,12.47,11.76,0
5.99,27.03,21.64,0
17.12,15.19,25.43,0
33.77,14.08,30.05,0
22.87,8.81,31.88,0
32.99,5.3,18.13,0
33.11,32.75,16.99,0
27.67,32.3,18.2,0
21.17,16.46,14.29,1
29.73,26.04,18.41,0
5.32,25.17,33.93,0
27.4,8.83,18.87,0
8.09,11.03,19.88,1
6.45,32.08,5.65,0
10.57,31.76,10.77,0
19.19,16.33,31.94,0
5.29,12.51,16.68,0
30.75,23.08,8.06,0
19.2,23.76,15.49,0
9.5,5.59,10.36,0
12.36,29.59,12.47,1
6.7,20.54,24.23,0
11.16,32.28,34.27,0
18.96,8.56,32.62,0
18.83,33.38,6.61,0
15.53,32.81,32.09,1
18.23,7.84,10.7,0
14.88,17.46,34.78,0
22.16,14.69,14.79,0
34.77,30.39,11.83,0
26.54,33.44,33.31,0
15.83,26.88,29.33,0
22.18,25.52,32.73,0
16.41,24.24,26.56,0
16.16,14.48,31.38,0
17.73,26.96,30.95,0
27.29,9.73,15.72,1
15.8,27.8,9.09,0
23.79,7.76,29.17,0
30.59,34.03,25.43,1
8.6,23.27,17.94,1
10.23,31.85,33.41,0
33.52,10.82,33.54,0
34.33,34.64,5.96,0
12.56,12.24,13.29,0
13.54,11.7,7.03,0
30.15,17.06,29.81,0
29.06,28.43,16.89,0
16.1,30.18,22.44,0
15.88,17.28,15.31,0
13.15,17.07,34.14,0
12.78,28.15,23.1,0
34.83,12.47,25.03,0
6.39,30.97,30.9,0
25.29,25.47,17.6,1
20.05,34.32,7.2,1
8.4,10.57,31.14,0
18.84,11.49,25.84,0
26.56,14.39,30.24,0
33.82,27.56,25.29,1
20.87,16.03,26.04,0
33.06,23.13,31.86,0
34.69,16.5,22.62,0
18.97,21.51,14.76,0
15.91,16.56,34.85,1
7.71,24.96,11.23,0
30.33,5.44,13.59,0
17.41,29.39,29.99,1
27.72,15.5,28.11,1
21.62,26.47,11.02,0
19.29,33.77,27.94,0
13,20.22,23.48,0
9.06,24.99,33.93,0
7.33,17.88,20.11,1
30.4,30.48,19.36,0
15.11,24.63,22.57,0
25.22,20.13,34.39,0
8.13,16.06,15.47,0
22.62,25.56,12.83,1
8.44,7.98,22.7,0
12.48,6.43,27.36,1
17.43,31.08,7.46,0
26.46,24.56,16.25,0
31.09,23.31,7.61,0
29.46,17.66,14.54,1
11.97,20.11,18.6,0
15.39,9.92,9.83,0
33.82,7.8,6.8,0
14.04,25.56,18.35,1
9.63,9.28,13.56,0
27.33,20.86,10.98,0
13.49,5.11,20.29,0
14.87,17.75,5.58,0
5.04,11.73,29.9,0
21.92,24.8,11.01,0
18.32,20.09,17.8,0
9.84,23,26.99,0
26.1,11.01,20.8,0
21.32,9.12,13.08,0
12.64,5.71,28.04,1
16.79,33.19,33.63,1
12.34,25.87,8.53,0
22.48,21.63,5.75,0
6.58,13.86,17.66,0
23.07,6.28,6.93,0
6.2,30.61,8.77,1
30.87,22.9,7.77,0
15.29,5.56,11.98,1
8.37,33,11.34,0
22.8,5.29,23.29,0
23.9,24.23,16.84,0
28.44,28.66,26.8,0
27.1,20.8,33.84,0
28.75,13.74,27.51,0
24.46,23.85,7.36,0
32.36,17.76,31.04,0
23.18,21.39,15.88,0
27.09,10.72,28.91,0
26.4,27.33,28.59,0
25.7,11.39,14.94,0
32.6,8,33.5,0
34.09,31.89,29.85,0
14.87,29.67,23.87,0
7.84,31.48,13.87,0
29.2,7.64,23.51,0
25.48,26.01,34.66,1
10.2,10.11,15.32,0
19.43,29.99,12.19,0
33.18,26.84,5.01,0
9.14,28.28,32.28,0
24.79,27.9,23.83,0
10.82,6.71,28.59,1
23.79,23.3,27.46,1
23.62,31.95,23.51,1
18.23,20.48,10.5,1
24.77,20.19,30.31,0
18.41,12.67,26.48,0
30.55,34.15,24.55,1
26.22,22.43,23.38,0
17.86,34.05,31.21,1
23.61,6.24,28.78,0
24.24,10.66,26.73,0
31.63,20.59,17.27,0
34.81,24.23,34.93,0
26.85,15.22,23.71,0
20.17,24.45,15.59,0
6.47,15.66,10.48,0
8.25,30.51,14.63,1
30.75,21.28,12.67,1
